# T650 raw capture: /dev/hidraw4 (receiver 046d:c52b), device index 1
# cols: t_ms dt_ms  raw_hex  | decoded
  2710.70   15.90  11 01 0f 00 01 1a 06 47 43 85 00 10 11 00 00 00 00 00 00 01  | ts=  282 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1607 y= 901 yf=1463 z=  0 a= 16]
  2718.79    8.09  11 01 0f 00 01 25 06 4b 43 ab 00 14 11 00 00 00 00 00 00 01  | ts=  293 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1611 y= 939 yf=1425 z=  0 a= 20]
  2734.73   15.94  11 01 0f 00 01 2f 06 52 43 dc 00 19 11 00 00 00 00 00 00 01  | ts=  303 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1618 y= 988 yf=1376 z=  0 a= 25]
  2742.71    7.98  11 01 0f 00 01 3a 06 59 43 fe 00 14 11 00 00 00 00 00 00 01  | ts=  314 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1625 y=1022 yf=1342 z=  0 a= 20]
  2750.82    8.11  11 01 0f 00 01 45 06 60 44 27 00 10 11 00 00 00 00 00 00 01  | ts=  325 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1632 y=1063 yf=1301 z=  0 a= 16]
  2766.65   15.84  11 01 0f 00 01 4f 06 66 44 4a 00 10 11 00 00 00 00 00 00 01  | ts=  335 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1638 y=1098 yf=1266 z=  0 a= 16]
  2772.71    6.06  11 01 0f 00 01 5a 06 6a 44 5e 00 14 11 00 00 00 00 00 00 01  | ts=  346 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1642 y=1118 yf=1246 z=  0 a= 20]
  2780.71    8.00  11 01 0f 00 01 65 06 6c 44 6c 00 14 11 00 00 00 00 00 00 01  | ts=  357 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1644 y=1132 yf=1232 z=  0 a= 20]
  2796.79   16.08  11 01 0f 00 01 6f 06 6d 44 74 00 14 11 00 00 00 00 00 00 01  | ts=  367 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1645 y=1140 yf=1224 z=  0 a= 20]
  2804.75    7.96  11 01 0f 00 01 7a 06 6e 44 79 00 14 11 00 00 00 00 00 00 01  | ts=  378 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1145 yf=1219 z=  0 a= 20]
  2812.75    8.00  11 01 0f 00 01 85 06 6e 44 7d 00 14 11 00 00 00 00 00 00 01  | ts=  389 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1149 yf=1215 z=  0 a= 20]
  2829.18   16.43  11 01 0f 00 01 8f 06 6e 44 80 00 14 11 00 00 00 00 00 00 01  | ts=  399 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1152 yf=1212 z=  0 a= 20]
  2836.80    7.63  11 01 0f 00 01 9a 06 6e 44 82 00 14 11 00 00 00 00 00 00 01  | ts=  410 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1154 yf=1210 z=  0 a= 20]
  2844.86    8.06  11 01 0f 00 01 a5 06 6e 44 83 00 10 11 00 00 00 00 00 00 01  | ts=  421 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1155 yf=1209 z=  0 a= 16]
  2860.72   15.86  11 01 0f 00 01 b0 06 6e 44 84 00 10 11 00 00 00 00 00 00 01  | ts=  432 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1156 yf=1208 z=  0 a= 16]
  2868.82    8.10  11 01 0f 00 01 bb 06 6e 44 84 00 10 11 00 00 00 00 00 00 01  | ts=  443 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1156 yf=1208 z=  0 a= 16]
  2874.76    5.94  11 01 0f 00 01 c5 06 6e 44 84 00 10 11 00 00 00 00 00 00 01  | ts=  453 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1156 yf=1208 z=  0 a= 16]
  2890.74   15.98  11 01 0f 00 01 d0 06 6e 44 84 00 10 11 00 00 00 00 00 00 01  | ts=  464 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1156 yf=1208 z=  0 a= 16]
  2898.84    8.11  11 01 0f 00 01 db 06 6e 44 84 00 10 11 00 00 00 00 00 00 01  | ts=  475 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1156 yf=1208 z=  0 a= 16]
  2906.87    8.03  11 01 0f 00 01 e5 06 6e 44 84 00 10 11 00 00 00 00 00 00 01  | ts=  485 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1646 y=1156 yf=1208 z=  0 a= 16]
  2922.88   16.01  11 01 0f 00 01 f0 06 6c 44 80 00 10 11 00 00 00 00 00 00 01  | ts=  496 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1644 y=1152 yf=1212 z=  0 a= 16]
